word,answer
Canton,"קנטון<hr>I came not only at the behest of Lord Venture, but to . . . look in on some matters for the Canton of Inquisition. </hr>The Canton of Finance was hardly the most threatening of Ministry offices—the Canton of Inquisition, or even the Canton of Orthodoxy, had a far more ominous reputation. "
carcasses,"פגרים<hr>It was freshly killed, headless, gutted human carcasses.” "
carpenter,נגר<hr>Clubs was probably a master carpenter. 
castrated,"מסורס<hr>“First,” she said, “every man captured is castrated.” "
cathedral,"קתדרלה<hr>For a moment, Richard listened to the cathedral whisper of feet against stone as the crowds moved steadily through the hallway. "
cauldron,"קדירה<hr>A firepit burned weakly at the center, and the large cauldron beside it was filled with vegetable-dappled water—the beginnings of an evening meal. "
certainty,ודאות<hr>Richard’s task was to convince them of the certainty of their impending defeat and death. 
charade,"צ'ראד<hr>But . . . if he’d already been paid, then why continue the charade? "
charcoal,"פחם<hr>A hearth burned at the side of the room, and the chairs were arranged to point toward a large charcoal writing board set atop an easel. </hr>Marsh walked forward, regarding the charcoal writing board with a critical eye. "
charred,"חרוך<hr>“The roads into the city from every direction are lined with stakes topped with charred skulls,” the man began. "
chastised,"מיוסר<hr>Elend was obviously too important to be chastised by a simple steward. </hr>“All right, consider me suitably chastised. "
chuckled,"גיחך<hr>Miles Carter, his secretary, chuckled. "
clasp,"אבזם<hr>He reached out to the side, selected a passing window clasp, and Pushed against it, angling himself to the side. "
clasps,"אבזמים<hr>“You’ll want to get into the habit of wearing things that don’t have any metal on them: belts with no buckles, shoes that slip on and off, trousers without clasps. "
claws,"הציפורניים<hr>Once Eloise got her claws into an idea, not even the full force of the Bridgerton family could sway her from her intended goal. "
cleaver,"קליבר<hr>As the shadows of the woman came closer, Kahlan’s fingers closed around the wooden handle of the heavy cleaver. "
clogged,"סתום<hr>Times when the sky hadn’t been clogged by smoke and ash, when plants hadn’t struggled to grow, and when skaa hadn’t been slaves. "
club,מועדון<hr>“You think that if I can club it with the candelabra that will stop it?” 
