word,answer
squabbling,"התקוטטות<hr>“If the houses would stop squabbling, we might be able to gain some real power in the government—rather than just bow to the whims of the Lord Ruler.” "
squander,"בזבוז<hr>High nobles kept different schedules from regular people; the ability to afford, even squander, lamp oil and candles meant that the wealthy didn’t have to bow before the whims of season or sun. "
squirm,"להתפתל<hr>However, Sazed’s calm displeasure made her want to squirm. "
squirmed,התפתל<hr>Vin squirmed a bit beneath their scrutiny. 
stalked,"גבעול<hr>With that, the older man turned and stalked in a limping gait from the room, slamming the door behind him. "
staves,"סטבס<hr>However, we’re going to need more than staves. "
sterile,"עקר<hr>Otherwise, without the key, everything that has come before, meaning what has been used from this book, will not only be sterile, but fatal. "
stern,"שטרן<hr>He hadn't seen his children yet today, and he supposed he ought to, but he didn't want to spoil the day by saying something stern, which he inevitably seemed to do. "
sternly,"בחומרה<hr>“This is no time for levity,” Tepper said sternly. "
steward,"דייל<hr>“You mean, how did a Terrisman steward end up as part of a rebellion intending to overthrow the Final Empire?” "
stewards,דיילים<hr>“But I know that the high nobility prefer Terrismen stewards and attendants.” 
stipend,"קצבה<hr>The Great Houses get to buy a monthly stipend of atium, which is one of the main ways the Lord Ruler controls them. "
stool,"שרפרף<hr>Six hadn’t cared at all about the stool. </hr>The boy who had fetched Vin sat on a stool beside Clubs, and he was obviously making a point of trying not to look at her. </hr>He sat on the stool by her bed, hands clasped with his elbows on his knees, watching her by the faint light of a lantern. "
stout,סטאוט<hr>She stopped when she saw a stout branch lying on the ground. 
stretches,מותח<hr>People don’t come here for stretches.” 
strife,"מריבות<hr>He said that it’s a time of great strife among the wisps, great sadness and worry. "
strike,שביתה<hr>It was a perfectly executed strike. 
strode,סטרוד<hr>People respectfully made way for the Mord-Sith as she strode up to a spot near the pond. 
structures,"מבנים<hr>In the sporadic displays of distant lightning, she could just make out the hulking shoulders of dark structures standing like ghosts beyond the billowing sheets of rain. "
stubble,זיפים<hr>She could hear it rasp against his stubble. 
stud,"פתוח<hr>Little more than a stud, not even worth stealing, which was why she didn’t fear leaving it in the back room. </hr>“It’s just a small stud, and the pin on the back bends down.” "
studs,"ומשובץ<hr>His earlobes had been stretched out, and the ears themselves contained studs that ran around their perimeter. "
stumble,למעוד<hr>I fear that I’ll stumble from nervousness on the dance floor. 
subdue,"להכניע<hr>There was something quietly noble about her spirit, about the way the figure stood with her back arched, her hands fisted, and her head thrown back as if in defiance of invisible forces that would subdue her. "
subjugation,"שעבוד<hr>We are eager to do as we are told, quick to seek subjugation. "
subservient,"כנוע<hr>The skaa might be subservient, but they were incurable gossips. </hr>Make sure you remain subservient, Camon. "
suffocate,"חנק<hr>The wrong fit, however, can suffocate.” "
suffused,"ספוג<hr>He felt suffused with her presence, as if he had really been with her, only to be pulled away by being awake. "
suitor,"מחזר<hr>“A suitor,” Vin said. "
