word,answer
languor,"לנגור<hr>The passing whip of a taskmaster would force them into dedicated motion for a few moments, but as soon as the taskmaster passed, they would return to their languor. "
lapse,"מעידה<hr>She let her pewter, then her copper, lapse. "
lavish,"בזבזני<hr>Perhaps another might have found the room cramped and spartan, but to Vin it seemed lavish. "
lead,"עופרת<hr>Pewter, for instance, is generally accepted as an alloy of tin mixed with lead, with perhaps some copper or silver, depending on the use and the circumstances. "
ledge,"מדף<hr>“You see that ledge down there?” </hr>“I have to go down there, to that ledge,” he told the wisps. </hr>He leaned out over the edge of the cliff, looking down at the ledge far below. </hr>“Kell,” Dockson said, “do you have to stand on the ledge like that? "
ledger,"ספר חשבונות<hr>Renoux asked, pouring over another ledger. "
ledgers,ספרי חשבונות<hr>His idea of “taking lunch” with Vin was to sit and attend to his own duties—making notes on ledgers or dictating letters—while eating. 
leers,"לירים<hr>Richard noticed for the first time that the buttons on Kahlan’s shirt were gone, ripped off, so the shirt hung open, exposing her to the leers of the soldiers. "
lenient,"מקל<hr>“Besides,” Kelsier said, “the Lord Ruler is far more lenient with the nobility than he is with skaa. </hr>In fact, I now know that amongst plantation lords, mine was actually rather lenient.” "
lest,"שמא<hr>She had to put her mind to other things lest she end up being so sad thinking about him that she start to weep. </hr>He extinguished his tin lest his enhanced eyes be blinded when he entered the lit room, and threw open the door. "
lettering,אותיות<hr>She had picked it for its large lettering—was paper really so expensive that scribes needed to cram as many lines to a page as possible? 
levity,"לויטי<hr>“This is no time for levity,” Tepper said sternly. "
ligature,"ליגטורה<hr>“That’s right, take it around and back now to complete the first ligature.” "
Limelights,"זרקורים<hr>“Limelights, Mistress,” Sazed explained. "
limping,"צולע<hr>With that, the older man turned and stalked in a limping gait from the room, slamming the door behind him. "
lintels,"משקופים<hr>The round room had speckled, gray granite pillars all around the outside holding gilded lintels above each passage that went off into darkness. "
loose,"רופף<hr>“I don’t intend to leave any loose ends.” </hr>He wore a loose, sleeveless shirt that exposed a pair of well-sculpted arms. "
lug,לוג<hr>It was a grueling effort to lug the heavy load up the precipitous trail. 
lulled,"רגוע<hr>The only one not lulled into indifference and carelessness was Jagang himself. </hr>Kahlan wanted to blend into the monotony of daily life, to have the men guarding her become lulled into thinking of her as innocuous, harmless, even cowed, so that she became just another one of their tedious chores. "
lumber,ברים<hr>The fires were so intense that the lumber cannot be salvaged. 
lump,"גוש<hr>Richard missed Kahlan so much that it brought a lump to his throat. </hr>It had long since healed over in a lump, becoming a distraction that was hard to ignore. "
lurched,"משובש<hr>Then her body lurched, pulled upward by the belt. "
lying,"משקר<hr>With amusement, he noticed a twisted form lying on the cobblestones a short distance away—the mangled remains of the hazekiller he’d thrown out the window. "
malcontent,חוסר שביעות רצון<hr>It couldn’t have been very effective for a malcontent mob of fools to attack such a place. 
malleable,"חמרן<hr>“Mistwraiths have malleable bodies,” Kelsier said. "
mangled,"מבולבל<hr>With amusement, he noticed a twisted form lying on the cobblestones a short distance away—the mangled remains of the hazekiller he’d thrown out the window. "
manicured,"מטופח<hr>Estates rolled in the distance—each one walled, manicured, and well guarded. "
manor,"מנור<hr>Tresting had his own, personal obligators back at the manor, but they were only minor functionaries, with barely a few marks around their eyes. </hr>The manor house was gone. "
mantic,"מנטיק<hr>Be cautioned, for all true forks and their derivatives are tangled in this mantic root. "
marauders,"הקונדסאים<hr>“The reports are, Excellency, that these marauders are destroying everything in their path. "
marginally,באופן שולי<hr>Traveling through skaa sectors of town could be very dangerous for a man who looked even marginally prosperous. 
Marsh,ביצה<hr>Marsh’s expression darkened. 
marvelous,"נפלא<hr>He is a marvelous actor, but he feels very uncomfortable with people knowing the specifics of how he took Lord Renoux’s place. "
menial,מניאל<hr>Most skaa lived lives of drudgery on the plantations; even those who lived in a city were generally forced to do menial labor. 
mercantile,"מרכנתיל<hr>A few more years of work, some inspired mercantile deals, and who knows?” </hr>The more wealth it had, the better its own mercantile contracts, the more leverage the various Ministry Cantons had with each other—and with the noble houses. "
merlon,מרלון<hr>Chapter 55 Nicci pulled her cloak tighter around herself as she leaned one shoulder up against the great stone merlon. 
mettle,מטל<hr>There was no doubt that she had the mettle. </hr>Johnrock had appeared slightly embarrassed for what he saw as Richard’s lack of mettle. 
miller,"טוחן<hr>He was a big man, a miller, from the southern reaches of the Midlands. "
Ministry,"משרד<hr>The Canton of Finance was hardly the most threatening of Ministry offices—the Canton of Inquisition, or even the Canton of Orthodoxy, had a far more ominous reputation. "
miscreant,"לא מאמין<hr>I’m just a traveling miscreant, here to eat your food and impress your youths.” "
missives,"פספוסים<hr>She wasn't sure why she kept sending her missives, just that she spent so much time writing letters to whichever of her siblings were not in residence in London at the time, and it seemed easy enough to pen a short note to some far-off relative while she was seated at her escritoire. "
Mistress,"פילגש<hr>We are a weak people, Mistress. "
modestly,"בצניעות<hr>“Even among the nobility, Vin, Allomancy is modestly rare,” Kelsier said. "
monotony,"מונוטוניות<hr>Kahlan wanted to blend into the monotony of daily life, to have the men guarding her become lulled into thinking of her as innocuous, harmless, even cowed, so that she became just another one of their tedious chores. "
moping,"ניגוב<hr>Chase would be disappointed to see her giving up so easily, to see her moping, but what was she to do? "
morsels,"חתיכות<hr>Always before, she had needed to be a scrimp with her Luck, holding it in reserve, using up morsels sparingly. "
most,"רוב<hr>Rashek is a tall man—of course, most of these Terrismen are tall. "
Most,"רוב<hr>Most of these have been successfully covered up, and can only be found in the metalminds of Feruchemists or on the pages of banned texts. "
motifs,מוטיבים<hr>You don’t understand the first thing about such complex motifs.” 
motion,"תנועה<hr>It had been a sunny day, and— He squeezed his eyes shut, not certain whether the motion was meant to urge the memory or dispel it. "
muddled,"מבולבל<hr>Mind muddled by terror, she reflexively reached out and Pulled against the ingot, trying to yank herself toward it. "
mundane,"ארצי<hr>He had spoken correctly: The pantry’s offerings had been depressingly mundane. </hr>Vin had never seen him in such mundane clothing before. </hr>Instead of mundane browns and whites, the cultivated plants were of deeper, more vibrant colors—shades of red, orange, and yellow, with the colors concentrated in their leaves. "
murals,"ציורי קיר<hr>In contrast to the simple corridors, this room was covered with silver-inlayed murals. "
navel,"טבור<hr>He turned and poked the goose leg at the young woman’s belly, just below her navel. "
newel,"ניואל<hr>Cara slid across the polished gray marble floor to slow herself enough to make the turn when Nicci hooked a hand on a cold, black marble newel post and charged up the wide, black, granite steps. "
nip,"ניפ<hr>“Losing the stress on the nip,” he said. "
nomadic,נוודים<hr>It wasn’t that she was waking up in an unfamiliar place—traveling with Reen had accustomed her to a nomadic lifestyle. 
nonchalance,"נונשלנטיות<hr>Noblemen feign nonchalance, but the mist makes them uncomfortable.” "
Not,"לא<hr>“Not particularly, no,” Elend said. "
oak,"אלון<hr>They wouldn’t let us proceed any farther than the dead oak woods, or allow us to see the other wisps.” "
obligator,"חובה<hr>The obligator turned, raising an eyebrow—the motion done as if to highlight his most distinctive feature, the intricate tattoos that laced the skin around his eyes. "
oblivious,"מתעלם<hr>The crewleader paused—oblivious of Vin’s touch, yet feeling its effects nonetheless. "
obscurity,"אלמוניות<hr>False Dawn is a stuffy volume, and by not forbidding it, the Ministry doomed it to obscurity.” "
obsidian,"האובסידיאן<hr>That left only the small box that contained her personal effects: a pebble from each city she’d visited, the earring Reen said Vin’s mother had given her, and a bit of obsidian the size of a large coin. "
